reviewCount,reviewRating,totalRatings,numberOfSellers
29,0.0,50043.0,2764
81484,43.0,9600024576.0,0
0,37599.53125,0.0,0
1450193,43.0,0.0,0
0,582.0,1.0,0
37499,3642826.0,810064674816.0,21
0,10.0,1.0,0
0,50.0,1.0,0
451744,96.0,0.0,0
0,26.0,1.0,0
47,0.0,0.0,1204
386243,83.0,0.0,0
0,280.0,0.0,0
0,5.0,1.0,0
128,0.0,0.0,388
1,0.0,7.599999904632568,0
0,7.0,1.0,0
318,0.0,5549.56005859375,0
0,36.0,1.0,0
0,290.0,0.0,0
0,36784.0,0.0,0
0,5.0,1.0,0
0,12.0,1.0,0
0,31.0,1.0,0
7643820,308.0,413004.0,0
0,6.0,1.0,0
3,0.0,8.199999809265137,0
0,1.0,0.0,0
0,491.0,1.0,0
0,1679.0,1.0,0
0,7.0,1.0,0
0,12.0,1.0,0
24,0.0,0.0,3282
32883,24.0,0.0,0
0,45.0,1.0,0
0,35638.921875,0.0,0
0,16.0,1.0,0
1,0.0,8.199999809265137,0
0,35372.0,0.0,0
35370,0.0,850052972544.0,21
35223,110078.4921875,197644124160.0,21
37,0.0,0.0,1425
13,0.0,0.0,5350
34959,11466.6796875,780254838784.0,21
16,0.0,0.0,4202
0,49.0,0.0,0
634432,29.0,0.0,0
21,0.0,37.0,0
34576,303152.875,747492868096.0,21
0,27.0,1.0,0
1,0.0,8.399999618530273,0
34307,511794.59375,0.0,21
0,74.0,1.0,0
34261,742101.5,810019848192.0,21
1,0.0,8.199999809265137,0
0,80.0,1.0,0
38,0.0,0.0,1876
38,0.0,0.0,2278
0,71.0,1.0,0
34021,0.0,850052972544.0,21
242,0.0,5087.9501953125,0
0,1.0,0.0,0
23,0.0,4650042.0,3375
1,0.0,9.0,0
0,1.0,0.0,0
1,0.0,9.300000190734863,0
14,0.0,0.0,4834
33524,1233960.0,810028302336.0,21
0,21.0,1.0,0
33312,26427.41015625,789591621632.0,21
0,33225.0,0.0,0
0,101.0,1.0,0
0,17.0,1.0,0
33,0.0,22352.0,1970
0,33037.640625,0.0,0
345266,110.0,0.0,0
0,1486.0,1.0,0
0,1.0,0.0,0
206303,88.0,0.0,0
29,0.0,0.0,2717
109,0.0,0.0,238
0,779.0,1.0,0
0,132.0,0.0,0
1,0.0,8.699999809265137,0
32300,26960.9296875,0.0,21
32299,176733.0625,869368987648.0,21
0,92.0,32037.330078125,0
1,0.0,8.300000190734863,0
0,1.0,0.0,0
0,294.0,31995.19921875,0
8,0.0,0.0,7035
32,0.0,65132.0,2412
0,3440.0,1.0,0
0,115.0,1.0,0
0,31612.5,0.0,0
0,57.0,1.0,0
31367,727243.25,57112993792.0,21
196,0.0,0.0,226
0,20.0,1.0,0
0,27.0,1.0,0
263,0.0,0.0,0
0,6.0,1.0,0
26,0.0,4670719.0,3056
0,83.0,1.0,0
1,0.0,9.600000381469727,0
0,174.0,0.0,0
0,177.0,0.0,0
0,30799.23046875,0.0,0
30774,495964.5625,57112993792.0,21
13,0.0,7.5,0
0,21.0,199.99000549316406,0
0,8.0,1.0,0
0,51.0,1.0,0
230,0.0,2287.449951171875,0
0,30449.7109375,0.0,0
45,0.0,0.0,1394
526897,48.0,0.0,0
30180,635424.125,825225969664.0,21
0,121.0,1.0,0
30000,196196.609375,190873010176.0,21
0,118.0,1.0,0
1,0.0,9.699999809265137,0
1,0.0,9.699999809265137,0
26,0.0,0.0,3091
0,2.0,0.0,0
0,46.0,1.0,0
85,0.0,0.0,0
0,12.0,1.0,0
344,0.0,4421.7998046875,0
0,11.0,1.0,0
56,0.0,0.0,541
45,0.0,0.0,1364
25,0.0,70615.0,3195
0,6.0,1.0,0
208,0.0,2170.68994140625,0
0,38.0,1.0,0
14,0.0,0.0,4960
28800,630136.0,84691812352.0,21
0,5.0,1.0,0
0,26.0,1.0,0
0,258.0,28636.419921875,0
0,39.0,1.0,0
1,0.0,8.100000381469727,0
0,28499.25,0.0,0
0,53.0,1.0,0
0,49.0,0.0,0
1,0.0,9.0,0
27993,7667855.5,26715023360.0,21
0,7.0,1.0,0
0,13.0,1.0,0
20,0.0,0.0,3597
21,0.0,0.0,3521
0,27804.0,0.0,0
0,44.0,1.0,0
0,22.0,1.0,0
0,21.0,384.7300109863281,0
0,27683.0,0.0,0
0,2070.0,1.0,0
0,18.0,1.0,0
1669921,154.0,402101.0,0
0,16.0,1.0,0
0,145.0,1.0,0
27489,853196.8125,0.0,21
0,768.0,1.0,0
375793,25.0,0.0,0
0,10.0,1.0,0
1,0.0,9.699999809265137,0
0,196.0,1.0,0
16,0.0,0.0,2551
27157,741845.0,822843801600.0,21
346538,80.0,0.0,0
0,45.0,1.0,0
0,5.0,1.0,0
0,10.0,1.0,0
0,26998.650390625,0.0,0
0,26970.0,0.0,0
325200,28.0,0.0,0
0,129.0,19877.19921875,0
0,32.0,1.0,0
166,0.0,0.0,284
0,189.0,26447.0,0
0,13.0,1.0,0
0,26354.08984375,0.0,0
0,8.0,1.0,0
0,15852.0,1.0,0
28,0.0,0.0,2899
1,0.0,8.899999618530273,0
0,15.0,1.0,0
0,3.0,0.0,0
0,43.0,1.0,0
1,0.0,7.800000190734863,0
26009,246748.421875,0.0,21
22,0.0,50049.0,3419
0,1860.0,1.0,0
