numberOfSellers,monthlyRevenueEstimate,monthlyUnitsSold,reviewRating
21,360.0,5,3642826.0
0,0.0,623700,10.0
0,0.0,985265,50.0
0,0.0,0,96.0
0,0.0,1055231,26.0
1204,2.0,37271,0.0
0,0.0,0,83.0
0,0.0,0,280.0
0,0.0,12832,5.0
388,1.0,37119,0.0
0,21.0,389,0.0
0,0.0,0,7.0
0,0.0,21,0.0
0,0.0,445588,36.0
0,0.0,0,290.0
0,0.0,0,36784.0
0,0.0,70231,5.0
0,0.0,612719,12.0
0,0.0,1134274,31.0
0,0.0,0,308.0
0,0.0,50594,6.0
0,21.0,4073,0.0
0,0.0,0,1.0
0,0.0,458467,491.0
0,0.0,138588,1679.0
0,0.0,49650,7.0
0,0.0,754702,12.0
3282,1.0,35976,0.0
0,0.0,0,24.0
0,0.0,840990,45.0
0,0.0,0,35638.921875
0,0.0,438963,16.0
0,21.0,2772,0.0
0,0.0,0,35372.0
21,36.0,1,0.0
21,24.0,1,110078.4921875
1425,6.0,35150,0.0
5350,0.0,35087,0.0
21,1819.0,1,11466.6796875
4202,1.0,34899,0.0
0,0.0,155009,49.0
0,0.0,0,29.0
0,0.0,0,0.0
21,128.0,1,303152.875
0,0.0,753381,27.0
0,21.0,731,0.0
21,191.0,1,511794.59375
0,0.0,496990,74.0
21,2637.0,1,742101.5
0,21.0,2432,0.0
0,0.0,585751,80.0
1876,1.0,34162,0.0
2278,1.0,34162,0.0
0,0.0,498373,71.0
21,32.0,1,0.0
0,0.0,21,0.0
0,0.0,0,1.0
3375,1.0,33682,0.0
0,21.0,108,0.0
0,0.0,0,1.0
0,21.0,117,0.0
4834,0.0,33586,0.0
21,118.0,1,1233960.0
0,0.0,489690,21.0
21,226.0,1,26427.41015625
0,0.0,0,33225.0
0,0.0,727495,101.0
0,0.0,364744,17.0
1970,1.0,33070,0.0
0,0.0,0,33037.640625
0,0.0,0,110.0
0,0.0,513751,1486.0
0,0.0,0,1.0
0,0.0,0,88.0
2717,3.0,32741,0.0
238,2.0,32699,0.0
0,0.0,326106,779.0
0,0.0,0,132.0
0,21.0,271,0.0
21,2156.0,2,26960.9296875
21,293.0,8,176733.0625
0,0.0,0,92.0
0,21.0,1659,0.0
0,0.0,0,1.0
0,0.0,0,294.0
7035,1.0,31992,0.0
2412,1.0,31862,0.0
0,0.0,571976,3440.0
0,0.0,753122,115.0
0,0.0,0,31612.5
0,0.0,716434,57.0
21,4047.0,1,727243.25
226,1.0,31358,0.0
0,0.0,1002268,20.0
0,0.0,93651,27.0
0,20.0,31068,0.0
0,0.0,17000,6.0
3056,4.0,30890,0.0
0,0.0,1073035,83.0
0,21.0,148,0.0
0,0.0,0,174.0
0,0.0,0,177.0
0,0.0,0,30799.23046875
21,1157.0,3,495964.5625
0,21.0,2372,0.0
0,0.0,0,21.0
0,0.0,12802,8.0
0,0.0,408924,51.0
0,0.0,21,0.0
0,0.0,0,30449.7109375
1394,4.0,30285,0.0
0,0.0,0,48.0
21,2449.0,1,635424.125
0,0.0,567352,121.0
21,409.0,1,196196.609375
0,0.0,214446,118.0
0,21.0,11,0.0
0,21.0,0,0.0
3091,1.0,29874,0.0
0,0.0,0,2.0
0,0.0,642126,46.0
0,1.0,29749,0.0
0,0.0,362695,12.0
0,0.0,21,0.0
0,0.0,515336,11.0
541,3.0,29259,0.0
1364,2.0,29205,0.0
3195,1.0,29116,0.0
0,0.0,1479,6.0
0,0.0,21,0.0
0,0.0,771949,38.0
4960,1.0,28877,0.0
21,1108.0,5,630136.0
0,0.0,7844,5.0
0,0.0,790350,26.0
0,0.0,0,258.0
0,0.0,548332,39.0
0,21.0,2344,0.0
0,0.0,0,28499.25
0,0.0,419032,53.0
0,0.0,133067,49.0
0,21.0,178,0.0
21,0.0,6,7667855.5
0,0.0,12758,7.0
0,0.0,884633,13.0
3597,0.0,27980,0.0
3521,1.0,27821,0.0
0,0.0,0,27804.0
0,0.0,471908,44.0
0,0.0,428197,22.0
0,0.0,0,21.0
0,0.0,0,27683.0
0,0.0,1055651,2070.0
0,0.0,429261,18.0
0,0.0,0,154.0
0,0.0,435739,16.0
0,0.0,781350,145.0
21,5362.0,1,853196.8125
0,0.0,1551143,768.0
0,0.0,0,25.0
0,0.0,0,10.0
0,21.0,0,0.0
0,0.0,549139,196.0
2551,1.0,27200,0.0
21,5150.0,3,741845.0
0,0.0,0,80.0
0,0.0,393485,45.0
0,0.0,25290,5.0
0,0.0,545830,10.0
0,0.0,0,26998.650390625
0,0.0,0,26970.0
0,0.0,0,28.0
0,0.0,0,129.0
0,0.0,709419,32.0
284,1.0,26558,0.0
0,0.0,0,189.0
0,0.0,446704,13.0
0,0.0,0,26354.08984375
0,0.0,36495,8.0
0,0.0,20685384,15852.0
2899,1.0,26229,0.0
0,21.0,307,0.0
0,0.0,353093,15.0
0,0.0,0,3.0
0,0.0,563565,43.0
0,21.0,2096,0.0
21,210.0,1,246748.421875
3419,1.0,25960,0.0
0,0.0,18439497,1860.0
2559,12.0,25856,0.0
0,0.0,16923287,398.0
21,424.0,1,163632.0625
0,0.0,0,25618.169921875
0,0.0,56809,7.0
2004,1.0,25558,0.0
0,0.0,0,36.0
21,219.0,1,297392.0625
0,0.0,40812,5.0
0,21.0,119,0.0
2912,4.0,25389,0.0
0,0.0,0,192.0
0,0.0,0,23.0
21,1989.0,1,516025.3125
0,21.0,161,0.0
0,0.0,303989,16.0
0,0.0,0,25199.16015625
0,0.0,0,28.0
0,0.0,0,154.0
0,0.0,0,217.0
21,243.0,1,131885.5
1256,1.0,24980,0.0
21,4864.0,1,76642.84375
0,0.0,3996,5.0
